id,slug,cat_name,images,rs_text,rs_video
58d3b415d1fb5ef3471a1010,,stockbridge,YW1400 ROOMSHOT,"The defining images of American tradition were created here in the artist  colony of Stockbridge, MA. by iconic painter Norman Rockwell. Natural  Beauty; Historic Significance; Americana - Stockbridge Square",https://www.youtube.com/watch?v=GfeZ6w49wcw
58d3b415d1fb5ef3471a1011,,stockbridge,YW1405 ROOMSHOT,"The defining images of American tradition were created here in the artist  colony of Stockbridge, MA. by iconic painter Norman Rockwell. Natural  Beauty; Historic Significance; Americana - Stockbridge Square",https://www.youtube.com/watch?v=GfeZ6w49wcw
58d3b415d1fb5ef3471a1012,,stockbridge,YW1427 ROOMSHOT,"The defining images of American tradition were created here in the artist  colony of Stockbridge, MA. by iconic painter Norman Rockwell. Natural  Beauty; Historic Significance; Americana - Stockbridge Square",https://www.youtube.com/watch?v=GfeZ6w49wcw
58d3b415d1fb5ef3471a1013,,stockbridge,YW1450 ROOMSHOT,"The defining images of American tradition were created here in the artist  colony of Stockbridge, MA. by iconic painter Norman Rockwell. Natural  Beauty; Historic Significance; Americana - Stockbridge Square",https://www.youtube.com/watch?v=GfeZ6w49wcw
58d3b415d1fb5ef3471a1014,,stockbridge,YW1457 ROOMSHOT,"The defining images of American tradition were created here in the artist  colony of Stockbridge, MA. by iconic painter Norman Rockwell. Natural  Beauty; Historic Significance; Americana - Stockbridge Square",https://www.youtube.com/watch?v=GfeZ6w49wcw
58d3b415d1fb5ef3471a1015,,stockbridge,YW1464 ROOMSHOT,"The defining images of American tradition were created here in the artist  colony of Stockbridge, MA. by iconic painter Norman Rockwell. Natural  Beauty; Historic Significance; Americana - Stockbridge Square",https://www.youtube.com/watch?v=GfeZ6w49wcw
58d3b415d1fb5ef3471a1016,,stockbridge,YW1475 ROOMSHOT,"The defining images of American tradition were created here in the artist  colony of Stockbridge, MA. by iconic painter Norman Rockwell. Natural  Beauty; Historic Significance; Americana - Stockbridge Square",https://www.youtube.com/watch?v=GfeZ6w49wcw
58d3b415d1fb5ef3471a1017,,stockbridge,YW1498 ROOMSHOT,"The defining images of American tradition were created here in the artist  colony of Stockbridge, MA. by iconic painter Norman Rockwell. Natural  Beauty; Historic Significance; Americana - Stockbridge Square",https://www.youtube.com/watch?v=GfeZ6w49wcw
58d3b415d1fb5ef3471a1018,,unplugged,UN1101-ROOMSHOT,"Unplugged sets fashion highlights in your home with various modern designs like geometrical patterns, retro designs, fine stripes or clear plains. Shaped by scandinavian influences, this collection offers the right wall covering for everyone.",https://www.youtube.com/watch?v=uz9LHx3MPBM
58d3b415d1fb5ef3471a1019,,unplugged,UN1203-ROOMSHOT,"Unplugged sets fashion highlights in your home with various modern designs like geometrical patterns, retro designs, fine stripes or clear plains. Shaped by scandinavian influences, this collection offers the right wall covering for everyone.",https://www.youtube.com/watch?v=uz9LHx3MPBM
58d3b415d1fb5ef3471a101a,,unplugged,UN1204-ROOMSHOT,"Unplugged sets fashion highlights in your home with various modern designs like geometrical patterns, retro designs, fine stripes or clear plains. Shaped by scandinavian influences, this collection offers the right wall covering for everyone.",https://www.youtube.com/watch?v=uz9LHx3MPBM
58d3b415d1fb5ef3471a101b,,unplugged,UN2001&UN4001-ROOMSHOT,"Unplugged sets fashion highlights in your home with various modern designs like geometrical patterns, retro designs, fine stripes or clear plains. Shaped by scandinavian influences, this collection offers the right wall covering for everyone.",https://www.youtube.com/watch?v=uz9LHx3MPBM
58d3b415d1fb5ef3471a101c,,unplugged,UN3002-ROOMSHOT,"Unplugged sets fashion highlights in your home with various modern designs like geometrical patterns, retro designs, fine stripes or clear plains. Shaped by scandinavian influences, this collection offers the right wall covering for everyone.",https://www.youtube.com/watch?v=uz9LHx3MPBM
58d3b415d1fb5ef3471a101d,,unplugged,UN3003-ROOMSHOT,"Unplugged sets fashion highlights in your home with various modern designs like geometrical patterns, retro designs, fine stripes or clear plains. Shaped by scandinavian influences, this collection offers the right wall covering for everyone.",https://www.youtube.com/watch?v=uz9LHx3MPBM
58d3b415d1fb5ef3471a101e,,unplugged,UN3105-ROOMSHOT,"Unplugged sets fashion highlights in your home with various modern designs like geometrical patterns, retro designs, fine stripes or clear plains. Shaped by scandinavian influences, this collection offers the right wall covering for everyone.",https://www.youtube.com/watch?v=uz9LHx3MPBM
58d3b415d1fb5ef3471a101f,,unplugged,UN3204-ROOMSHOT,"Unplugged sets fashion highlights in your home with various modern designs like geometrical patterns, retro designs, fine stripes or clear plains. Shaped by scandinavian influences, this collection offers the right wall covering for everyone.",https://www.youtube.com/watch?v=uz9LHx3MPBM
